match_id,innings_number,powerplay_type,from_over,to_over
1199507,2,mandatory,0.1,5.7
1199508,1,mandatory,0.1,5.6
1199508,2,mandatory,0.1,5.6
1199509,1,mandatory,0.1,5.6
1199509,2,mandatory,0.1,5.6
1199510,1,mandatory,0.1,5.6
1199510,2,mandatory,0.1,5.6
1199511,1,mandatory,0.1,5.6
1199511,2,mandatory,0.1,5.6
1199512,1,mandatory,0.1,5.7
1199512,2,mandatory,0.1,5.6
1199513,1,mandatory,0.1,5.6
1199513,2,mandatory,0.1,5.6
1199514,1,mandatory,0.1,5.6
1199514,2,mandatory,0.1,5.6
1199515,1,mandatory,0.1,5.6
1199515,2,mandatory,0.1,5.6
1199516,1,mandatory,0.1,5.6
1199516,2,mandatory,0.1,5.6
1199517,1,mandatory,0.1,5.7
1199517,2,mandatory,0.1,5.6
1199518,1,mandatory,0.1,5.7
1199518,2,mandatory,0.1,5.6
1199519,1,mandatory,0.1,5.6
1199519,2,mandatory,0.1,5.7
1199520,1,mandatory,0.1,5.7
1199520,2,mandatory,0.1,5.6
1199521,1,mandatory,0.1,5.6
1199521,2,mandatory,0.1,5.6
1199522,1,mandatory,0.1,5.6
1199522,2,mandatory,0.1,5.6
1199523,1,mandatory,0.1,5.6
1199523,2,mandatory,0.1,5.6
1199524,1,mandatory,0.1,5.8
1199524,2,mandatory,0.1,5.6
1199525,1,mandatory,0.1,5.6
1199525,2,mandatory,0.1,5.7
1199526,1,mandatory,0.1,5.6
1199526,2,mandatory,0.1,5.6
1199527,1,mandatory,0.1,5.6
1199527,2,mandatory,0.1,5.6
1199528,1,mandatory,0.1,5.6
1199528,2,mandatory,0.1,5.8
1199529,1,mandatory,0.1,5.7
1199529,2,mandatory,0.1,5.6
1199530,1,mandatory,0.1,5.6
1199530,2,mandatory,0.1,5.6
1199531,1,mandatory,0.1,5.6
1199531,2,mandatory,0.1,5.6
1199532,1,mandatory,0.1,5.7
1199532,2,mandatory,0.1,5.6
1199533,1,mandatory,0.1,5.6
1199533,2,mandatory,0.1,5.6
1199534,1,mandatory,0.1,5.6
1199534,2,mandatory,0.1,5.6
1199535,1,mandatory,0.1,5.6
1199535,2,mandatory,0.1,5.7
1199536,1,mandatory,0.1,5.6
1199536,2,mandatory,0.1,5.6
1199537,1,mandatory,0.1,5.6
1199537,2,mandatory,0.1,5.6
1199538,1,mandatory,0.1,5.6
1199538,2,mandatory,0.1,5.6
1199539,1,mandatory,0.1,5.6
1199539,2,mandatory,0.1,5.7
1199540,1,mandatory,0.1,5.6
1199540,2,mandatory,0.1,5.6
1199541,1,mandatory,0.1,5.6
1199541,2,mandatory,0.1,5.6
1199542,1,mandatory,0.1,5.6
1199542,2,mandatory,0.1,5.6
1199543,1,mandatory,0.1,5.6
1199543,2,mandatory,0.1,5.6
1199544,1,mandatory,0.1,5.6
1199544,2,mandatory,0.1,5.7
1199545,1,mandatory,0.1,5.6
1199545,2,mandatory,0.1,5.6
1199546,1,mandatory,0.1,5.6
1199546,2,mandatory,0.1,5.6
1199547,1,mandatory,0.1,5.6
1199547,2,mandatory,0.1,5.6
1199548,1,mandatory,0.1,5.6
1199548,2,mandatory,0.1,5.6
1199549,1,mandatory,0.1,5.6
1199549,2,mandatory,0.1,5.6
1200425,1,mandatory,0.1,5.7
1200425,2,mandatory,0.1,5.6
1200426,1,mandatory,0.1,5.6
1200426,2,mandatory,0.1,5.6
1200427,1,mandatory,0.1,5.6
1200427,2,mandatory,0.1,5.7
1200428,1,mandatory,0.1,5.7
