match_id,team
1182916,Indonesia
1182917,Vanuatu
1182917,Japan
1182918,Papua New Guinea
1182918,Samoa
1183510,Australia
1183510,Sri Lanka
1183511,Australia
1183511,Sri Lanka
1183512,Australia
1183512,Sri Lanka
1183524,Australia
1183524,Sri Lanka
1183525,Australia
1183525,Sri Lanka
1183526,Australia
1183526,Sri Lanka
1183527,Australia
1183527,Pakistan
1183528,Australia
1183528,Pakistan
1183529,Australia
1183529,Pakistan
1183543,England
1183543,India
1183544,Australia
1183544,England
1183545,Australia
1183545,India
1183546,England
1183546,India
1183547,Australia
1183547,India
1183548,Australia
1183548,England
1183549,Australia
1183549,India
1183856,United States of America
1183856,Canada
1183857,United States of America
1183857,Canada
1184258,Ghana
1184258,Namibia
1184260,Uganda
1184260,Botswana
1184261,Ghana
1184261,Kenya
1184262,Uganda
1184262,Namibia
1184263,Botswana
1184263,Nigeria
1184266,Uganda
1184266,Ghana
1184900,Ghana
1184900,Nigeria
1184901,Botswana
1184901,Namibia
1184902,Uganda
1184902,Kenya
1185154,Ireland
1185154,West Indies
1185155,Ireland
1185155,West Indies
1185156,Ireland
1185156,West Indies
1185181,Guernsey
1185181,Germany
1185182,Denmark
1185182,Norway
1185184,Denmark
1185184,Jersey
1185185,Guernsey
1185185,Italy
1185186,Jersey
1185186,Norway
1185187,Guernsey
1185187,Denmark
1185188,Germany
1185188,Norway
1185190,Germany
1185190,Jersey
1185191,Guernsey
1185191,Norway
1185192,Italy
1185192,Jersey
1185193,Denmark
1185193,Germany
1185313,South Africa
1185313,England
1185314,South Africa
1185314,England
1185315,South Africa
1185315,England
1185316,South Africa
1185316,Australia
1185317,South Africa
1185317,Australia
1185318,South Africa
1185318,Australia
1186488,Malaysia
1186488,Thailand
1186490,Maldives
1186490,Thailand
1186491,Malaysia
1186491,Thailand
1186492,Malaysia
1186492,Maldives
1186493,Maldives
1186493,Thailand
1187005,India
1187005,South Africa
1187006,India
1187006,South Africa
1187013,India
1187013,Bangladesh
1187014,India
1187014,Bangladesh
1187015,India
1187015,Bangladesh
1187018,India
1187018,West Indies
1187019,India
1187019,West Indies
1187020,India
1187020,West Indies
1187665,New Zealand
1187665,England
1187666,New Zealand
1187666,England
1187667,New Zealand
1187667,England
1187668,New Zealand
1187668,England
1187669,New Zealand
1187669,England
1187677,New Zealand
1187677,India
1187678,New Zealand
1187678,India
1187679,New Zealand
1187679,India
1187680,New Zealand
1187680,India
1187681,New Zealand
1187681,India
1187717,New Zealand
1187717,South Africa
1187718,New Zealand
1187718,South Africa
1187719,New Zealand
1187719,South Africa
1187720,New Zealand
1187720,South Africa
1188379,Netherlands
1188379,Zimbabwe
1188380,Netherlands
1188380,Zimbabwe
1188621,India
1188621,West Indies
1188622,India
1188622,West Indies
1188623,West Indies
1188623,India
1188784,Rwanda
1188784,Uganda
1188785,Rwanda
1188785,Mali
1188786,Tanzania
1188786,Uganda
1189743,Guernsey
1189743,Denmark
1189744,Denmark
1189744,Italy
1190605,Netherlands
1190605,Scotland
1190606,Germany
1190606,Netherlands
1190607,Netherlands
1190607,Scotland
1190608,Germany
1190608,Scotland
1190744,Netherlands
1190744,Ireland
1190746,Netherlands
1190746,Scotland
1190747,Ireland
1190747,Thailand
1190749,Ireland
1190749,Scotland
1190750,Scotland
1190750,Thailand
1190751,Netherlands
1190751,Ireland
1190752,Ireland
1190752,Thailand
1190753,Netherlands
1190753,Scotland
1190754,Ireland
1190754,Scotland
1190755,Netherlands
1190755,Thailand
1190767,Singapore
1190767,Qatar
1190768,Kuwait
1190768,Malaysia
1190769,Nepal
1190769,Qatar
1190771,Malaysia
1190771,Nepal
1190772,Kuwait
1190772,Qatar
1190773,Singapore
1190773,Malaysia
1190774,Kuwait
1190774,Nepal
1190775,Malaysia
1190775,Qatar
1190776,Singapore
1190776,Nepal
1191006,Netherlands
1191006,United Arab Emirates
1191008,Netherlands
1191008,United Arab Emirates
1192223,Malaysia
1192223,Nepal
1192224,Malaysia
1192224,Nepal
1192875,Sri Lanka
1192875,New Zealand
1192876,Sri Lanka
1192876,New Zealand
1192877,Sri Lanka
1192877,New Zealand
1196033,Rwanda
1196033,Nigeria
1197047,Bangladesh
1197047,Papua New Guinea
1197049,Scotland
1197049,United States of America
1197051,Namibia
1197051,Thailand
1197052,Scotland
1197052,Papua New Guinea
1197053,Ireland
1197053,Netherlands
1197054,Bangladesh
1197054,United States of America
1197055,Ireland
1197055,Thailand
1197056,Namibia
1197056,Netherlands
1197057,Scotland
1197057,Bangladesh
1197058,Papua New Guinea
1197058,United States of America
1197059,Bangladesh
1197059,Ireland
1197061,Papua New Guinea
1197061,Thailand
1197062,Scotland
1197062,Namibia
1197063,Ireland
1197063,Papua New Guinea
1197064,Namibia
1197064,United States of America
1197065,Bangladesh
1197065,Thailand
1197066,Scotland
1197066,Netherlands
1197140,Bangladesh
1197140,Zimbabwe
1197143,Bangladesh
1197143,Zimbabwe
1197246,South Korea
1197246,Japan
1197247,China
1197247,Hong Kong
1197248,Hong Kong
1197248,Japan
1197249,South Korea
1197249,China
1197253,China
1197253,Hong Kong
1197396,Bermuda
1197396,United States of America
